"ind","PH","FT","Sub-population"
"Ancap2",71.483402326557,74.0706766314723,"BCC"
"BCC126",60.7895330044988,65.6261550342003,"BCC"
"BCC129",58.2895330044988,72.9131722939903,"BCC"
"BCC131",62.5999999456577,66.0082626342132,"BCC"
"BCC1367",63.5999999456577,69.8154566760925,"BCC"
"BCC1368",67.3999999456577,71.4115173759988,"BCC"
"BCC1370",58.5999999456577,75.7584561515089,"BCC"
"BCC1371",65.9999999456577,73.0593592713776,"BCC"
"BCC1372",71.5999999456577,70.366862642597,"BCC"
"BCC1373",68.1999999456577,71.4649265259182,"BCC"
"BCC1374",72.1999999456577,72.4337685785879,"BCC"
"BCC1376",60.7999999456577,77.9644846639274,"BCC"
"BCC1377",65.6441804854669,72.4812208178693,"BCC"
"BCC1378",59.5676969671087,78.0918693199144,"BCC"
"BCC1379",75.1999999456577,71.8906295336823,"BCC"
"BCC1380",64.3999999456577,72.2561520040435,"BCC"
"BCC1383",60.7999999456577,74.9373493304021,"BCC"
"BCC1384",66.9999999456577,74.1900035849589,"BCC"
"BCC1385",78.1999999456577,70.0214995534901,"BCC"
"BCC1386",77.9999999456577,70.0523397801039,"BCC"
"BCC1387",74.3999999456577,71.2422802154857,"BCC"
"BCC1389",73.9999999456577,72.3593285615417,"BCC"
"BCC1390",71.5401411158718,71.2190123600428,"BCC"
"BCC1391",78.7999999456577,72.6831438818045,"BCC"
"BCC1392",79.1999999456577,72.2758360152788,"BCC"
"BCC1394",81.5999999456577,75.7013132943661,"BCC"
"BCC1395",64.3999999456577,71.2346466276994,"BCC"
"BCC1396",57.3999999456577,73.866862642597,"BCC"
"BCC1397",73.7999999456577,71.8892090113121,"BCC"
"BCC1398",72.9999999456577,70.6612903626972,"BCC"
"BCC1399",49.7895330044988,79.4131722939904,"BCC"
"BCC1400",68.5999999456577,69.6315931925849,"BCC"
"BCC1401",65.5999999456577,72.9354310687154,"BCC"
"BCC1402",81.1999999456577,69.6675734569677,"BCC"
"BCC1403",68.1999999456577,67.3638983283797,"BCC"
"BCC1404",24.423277786421,NA,"BCC"
"BCC1405",76.1999999456577,76.2346466276994,"BCC"
"BCC1407",74.7999999456577,70.7260259380442,"BCC"
"BCC1408",77.5999999456577,78.0957577388105,"BCC"
"BCC1409",75.1999999456577,74.7346466276994,"BCC"
"BCC1410",78.3999999456578,72.3927662858191,"BCC"
"BCC1411",64.3999999456577,74.6833645764174,"BCC"
"BCC1412",74.5999999456577,72.5781840426654,"BCC"
"BCC1414",70.1999999456577,70.385184262108,"BCC"
"BCC1416",67.7999999456578,74.6769543200071,"BCC"
"BCC1417",62.5999999456577,72.5305649950463,"BCC"
"BCC1418",72.1999999456577,73.5013132943661,"BCC"
"BCC1419",74.7999999456577,71.8436209866738,"BCC"
"BCC1420",63.3999999456577,74.4230166455657,"BCC"
"BCC1421",73.1999999456577,70.4346466276994,"BCC"
"BCC1422",61.7999999456577,72.7001959759304,"BCC"
"BCC1423",59.7999999456577,78.0917894848423,"BCC"
"BCC1424",75.1999999456577,71.7481116985731,"BCC"
"BCC1425",78.3999999456577,70.7225423446454,"BCC"
"BCC1428",73.9999999456577,75.0602221462866,"BCC"
"BCC1430",85.1999999456577,67.5612232042759,"BCC"
"BCC1431",81.7999999456577,70.6946466276994,"BCC"
"BCC1432",71.7999999456577,72.0693039922845,"BCC"
"BCC1433",74.7999999456577,71.8388529903236,"BCC"
"BCC1439",79.1999999456578,74.0781840426654,"BCC"
"BCC1440",82.1999999456577,66.0596197990626,"BCC"
"BCC1441",85.5999999456577,71.3965986795724,"BCC"
"BCC1442",68.9999999456577,67.3457577388105,"BCC"
"BCC1443",85.7999999456577,69.6675734569677,"BCC"
"BCC1444",73.7999999456577,70.7998640190037,"BCC"
"BCC1445",77.7999999456577,73.7982598592516,"BCC"
"BCC1447",71.7999999456577,77.6820150487521,"BCC"
"BCC1448",61.5999999456577,66.1030129525987,"BCC"
"BCC1450",52.8941804854669,75.938648292945,"BCC"
"BCC1452",68.7999999456577,65.3457577388105,"BCC"
"BCC1453",77.5999999456578,67.2679565733793,"BCC"
"BCC1455",68.7999999456578,74.4247104648271,"BCC"
"BCC1456",64.5999999456577,76.9251228181756,"BCC"
"BCC1457",60.7999999456578,64.5203609134137,"BCC"
"BCC1458",72.5999999456577,72.3342401236344,"BCC"
"BCC1459",64.1999999456577,62.660714325831,"BCC"
"BCC1461",77.7999999456577,68.1675734569677,"BCC"
"BCC1463",82.3999999456577,72.5551594482122,"BCC"
"BCC1465",75.9999999456577,67.9013132943661,"BCC"
"BCC1466",74.3999999456578,66.3854003540884,"BCC"
"BCC1467",75.5999999456577,67.0009067903011,"BCC"
"BCC1468",73.5999999456577,66.4325908295531,"BCC"
"BCC1469",70.9999999456577,70.7945876535005,"BCC"
